Entity,Code,Year,Terrorist attacks Unknown,Terrorist attacks Hijacking,Terrorist attacks Hostage Taking (Barricade Incident),Terrorist attacks Unarmed Assault,Terrorist attacks Facility/Infrastructure Attack,Terrorist attacks Hostage Taking (Kidnapping),Terrorist attacks Assassination,Terrorist attacks Armed Assault,Terrorist attacks Bombing/Explosion,Terrorist attacks,Terrorism deaths
Vatican,VAT,1973,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,1973,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,WLF,1973,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,ESH,1973,0,0,0,0,0,0,0,0,0,0,0
Yemen,YEM,1973,0,0,0,0,0,0,0,0,0,0,0
Yemen Arab Republic,OWID_YAR,1973,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,ZWE,1973,0,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,1979,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,1979,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,TJK,1979,0,0,0,0,0,0,0,0,0,0,0
Russia,RUS,1979,0,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,1979,0,0,0,0,0,0,0,0,0,0,0
Armenia,ARM,1979,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,1979,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA,1979,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,1979,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,1979,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,1979,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,1979,0,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,OWID_SRM,1979,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,1979,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,1979,0,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,1979,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,1979,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,1979,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,1979,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,1979,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,1979,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,1979,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,1979,0,0,0,0,0,0,0,0,0,0,0
Kosovo,OWID_KOS,1979,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,1979,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,1979,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1979,0,0,0,0,0,1,0,1,1,3,53
Algeria,DZA,1979,0,0,0,0,0,0,0,0,1,1,0
Angola,AGO,1979,0,0,0,0,1,0,0,1,1,3,19
Argentina,ARG,1979,1,0,1,0,0,1,5,0,8,16,11
Australia,AUS,1979,0,0,0,0,0,0,0,0,2,2,0
Austria,AUT,1979,0,0,0,0,0,0,1,0,4,5,0
Bahrain,BHR,1979,0,0,0,0,0,0,0,0,1,1,0
Bangladesh,BGD,1979,0,0,0,0,0,1,0,0,0,1,0
Belgium,BEL,1979,0,0,0,0,0,0,2,1,5,8,1
Bolivia,BOL,1979,0,0,0,0,0,0,0,0,14,14,0
Brazil,BRA,1979,0,0,0,0,1,1,1,2,1,6,4
Chile,CHL,1979,0,0,0,0,0,2,6,5,36,49,6
Colombia,COL,1979,26,0,12,0,6,17,27,33,19,140,156
Costa Rica,CRI,1979,1,0,0,0,0,0,0,1,0,2,3
Cyprus,CYP,1979,0,0,0,0,0,0,1,0,4,5,2
Denmark,DNK,1979,0,0,0,0,0,0,0,0,3,3,0
Djibouti,DJI,1979,0,0,0,0,1,0,0,0,0,1,4
Dominican Republic,DOM,1979,0,0,0,0,0,0,1,0,1,2,1
Ecuador,ECU,1979,0,0,0,0,0,0,2,0,0,2,0
Egypt,EGY,1979,0,0,0,0,0,0,0,0,1,1,1
El Salvador,SLV,1979,36,0,36,0,34,24,61,73,62,326,286
Ethiopia,ETH,1979,1,0,0,0,0,0,1,2,0,4,101
France,FRA,1979,2,0,1,2,16,0,18,5,168,212,11
Gabon,GAB,1979,0,0,0,0,0,0,1,0,0,1,2
Greece,GRC,1979,0,0,0,0,0,0,1,0,8,9,1
Guatemala,GTM,1979,5,0,4,0,2,9,12,19,9,60,53
Guyana,GUY,1979,0,0,0,0,0,0,1,1,0,2,1
Honduras,HND,1979,1,0,0,1,1,0,1,0,2,6,1
India,IND,1979,1,0,0,0,2,0,5,9,3,20,31
Iran,IRN,1979,11,0,2,0,5,1,25,12,26,82,57
Iraq,IRQ,1979,0,0,0,0,0,0,1,1,0,2,1
Ireland,IRL,1979,0,0,0,0,1,2,3,2,0,8,9
Israel,ISR,1979,1,0,1,0,2,1,1,2,121,129,63
Italy,ITA,1979,6,0,5,1,40,26,32,36,63,209,24
Jamaica,JAM,1979,0,0,0,0,0,1,0,1,0,2,4
Japan,JPN,1979,2,0,0,1,9,0,1,3,0,16,5
Lebanon,LBN,1979,2,2,0,0,0,3,12,2,17,38,33
Lesotho,LSO,1979,0,0,0,0,0,0,0,0,2,2,0
Libya,LBY,1979,0,2,0,0,0,0,1,0,0,3,0
Malaysia,MYS,1979,0,0,0,0,0,0,0,1,0,1,5
Mexico,MEX,1979,0,0,0,0,0,3,1,4,2,10,5
Morocco,MAR,1979,0,0,0,0,0,0,0,0,2,2,0
Mozambique,MOZ,1979,0,0,0,0,1,0,0,1,3,5,34
Myanmar,MMR,1979,0,0,0,0,0,2,0,16,1,19,86
Namibia,NAM,1979,2,0,0,0,0,5,7,3,14,31,32
Netherlands,NLD,1979,0,0,0,0,0,0,2,0,1,3,3
Nicaragua,NIC,1979,65,1,8,0,8,17,41,46,20,206,187
Norway,NOR,1979,0,1,0,0,0,0,0,0,0,1,0
Pakistan,PAK,1979,0,0,0,1,3,0,1,0,2,7,6
Panama,PAN,1979,0,0,0,0,0,0,0,0,4,4,1
Peru,PER,1979,0,0,0,0,0,1,0,2,0,3,5
Philippines,PHL,1979,9,0,1,0,2,6,17,12,3,50,107
Poland,POL,1979,0,0,0,0,0,0,0,0,1,1,0
Portugal,PRT,1979,0,0,0,0,0,1,4,0,10,15,3
Saudi Arabia,SAU,1979,0,0,0,0,0,0,0,1,0,1,5
South Africa,ZAF,1979,1,0,0,0,0,0,1,1,13,16,8
Spain,ESP,1979,5,0,2,0,10,11,85,42,124,279,112
Sri Lanka,LKA,1979,0,0,0,0,0,0,1,2,0,3,2
Sweden,SWE,1979,0,0,0,0,0,0,1,0,0,1,1
Switzerland,CHE,1979,0,0,0,0,0,0,1,1,4,6,1
Syria,SYR,1979,0,0,0,0,1,0,15,3,9,28,80
Tanzania,TZA,1979,0,0,0,0,0,0,1,0,0,1,1
Thailand,THA,1979,1,0,0,0,0,0,1,8,6,16,62
Trinidad and Tobago,TTO,1979,0,0,0,0,1,0,0,0,0,1,0
Tunisia,TUN,1979,0,1,0,0,0,0,0,0,0,1,0
Turkey,TUR,1979,0,0,1,0,1,2,52,29,56,141,123
Uganda,UGA,1979,2,0,0,0,0,0,3,0,3,8,13
United Arab Emirates,ARE,1979,0,0,0,0,0,1,0,0,1,2,0
United Kingdom,GBR,1979,10,0,0,1,34,2,50,42,100,239,133
United States,USA,1979,1,1,1,0,5,1,8,10,42,69,18
Venezuela,VEN,1979,0,0,0,0,0,2,0,0,2,4,0
West Germany,OWID_GFR,1979,1,1,0,0,6,0,1,1,7,17,0
World,OWID_WRL,1979,85,8,27,6,147,93,400,298,915,1979,1441
Zambia,ZMB,1979,0,0,0,0,0,0,0,1,0,1,0
Albania,ALB,1979,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,1979,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1979,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,1979,0,0,0,0,0,0,0,0,0,0,0
Barbados,BRB,1979,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,1979,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,1979,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,1979,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,1979,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,1979,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,1979,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,1979,0,0,0,0,0,0,0,0,0,0,0
Burundi,BDI,1979,0,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,1979,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,1979,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,1979,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,1979,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,1979,0,0,0,0,0,0,0,0,0,0,0
China,CHN,1979,0,0,0,0,0,0,0,0,0,0,0
Comoros,COM,1979,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,1979,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,1979,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,OWID_CZS,1979,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,COD,1979,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,1979,0,0,0,0,0,0,0,0,0,0,0
East Germany,OWID_GDR,1979,0,0,0,0,0,0,0,0,0,0,0
East Timor,TLS,1979,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,GNQ,1979,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,1979,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,FLK,1979,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,1979,0,0,0,0,0,0,0,0,0,0,0
Finland,FIN,1979,0,0,0,0,0,0,0,0,0,0,0
French Guiana,GUF,1979,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,1979,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,1979,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,1979,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,1979,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,GLP,1979,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,1979,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,1979,0,0,0,0,0,0,0,0,0,0,0
Haiti,HTI,1979,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,1979,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,1979,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,1979,0,0,0,0,0,0,0,0,0,0,0
Indonesia,IDN,1979,0,0,0,0,0,0,0,0,0,0,0
Jordan,JOR,1979,0,0,0,0,0,0,0,0,0,0,0
Kenya,KEN,1979,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,1979,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,1979,0,0,0,0,0,0,0,0,0,0,0
Liberia,LBR,1979,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,1979,0,0,0,0,0,0,0,0,0,0,0
Macao,MAC,1979,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG,1979,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,1979,0,0,0,0,0,0,0,0,0,0,0
Maldives,MDV,1979,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,1979,0,0,0,0,0,0,0,0,0,0,0
Malta,MLT,1979,0,0,0,0,0,0,0,0,0,0,0
Martinique,MTQ,1979,0,0,0,0,0,0,0,0,0,0,0
Mauritania,MRT,1979,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,1979,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,1979,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,1979,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,1979,0,0,0,0,0,0,0,0,0,0,0
Niger,NER,1979,0,0,0,0,0,0,0,0,0,0,0
Nigeria,NGA,1979,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,1979,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,1979,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,1979,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,1979,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,1979,0,0,0,0,0,0,0,0,0,0,0
Rwanda,RWA,1979,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,1979,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,1979,0,0,0,0,0,0,0,0,0,0,0
Senegal,SEN,1979,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,1979,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,1979,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1979,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,1979,0,0,0,0,0,0,0,0,0,0,0
Somalia,SOM,1979,0,0,0,0,0,0,0,0,0,0,0
South Korea,KOR,1979,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,1979,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,1979,0,0,0,0,0,0,0,0,0,0,0
Suriname,SUR,1979,0,0,0,0,0,0,0,0,0,0,0
Taiwan,TWN,1979,0,0,0,0,0,0,0,0,0,0,0
Togo,TGO,1979,0,0,0,0,0,0,0,0,0,0,0
USSR,OWID_USS,1979,0,0,0,0,0,0,0,0,0,0,0
Uruguay,URY,1979,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,1979,0,0,0,0,0,0,0,0,0,0,0
Vatican,VAT,1979,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,1979,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,WLF,1979,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,ESH,1979,0,0,0,0,0,0,0,0,0,0,0
Yemen,YEM,1979,0,0,0,0,0,0,0,0,0,0,0
